Age
55
68
38
78
88
53
66
83
78
81
67
60
75
85
58
92
90
72
72
74
71
72
74
53
57
85
65
71
73
63
67
36
27
73
78
77
76
59
83
70
78
63
65
48
82
81
83
79
62
93
79
78
53
56
37
64
62
78
77
89
67
51
69
50
92
42
59
55
52
23
67
74
54
54
29
63
51
78
66
76
88
58
64
51
69
68
64
28
70
81
87
58
61
79
68
70
70
68
59
70
65
67
68
83
81
84
56
74
78
75
80
56
76
59
70
68
83
52
54
62
86
38
73
63
81
76
70
80
56
67
33
60
83
90
42
73
78
67
82
78
80
32
29
44
85
72
16
63
75
76
73
62
63
51
74
86
74
25
48
67
57
62
74
58
42
91
69
43
60
47
72
39
53
73
81
79
50
85
67
30
69
80
47
54
53
64
51
65
42
55
58
60
81
72
77
87
73
69
62
50
63
34
43
79
62
60
72
60
63
56
49
82
66
85
37
82
55
55
77
73
54
69
52
39
28
47
48
59
63
86
76
51
63
82
56
47
36
69
92
57
74
62
75
86
72
79
71
51
83
71
85
84
71
41
72
82
65
65
61
29
53
73
75
56
55
64
78
77
20
39
67
66
62
65
62
77
45
64
63
79
60
64
63
85
80
57
80
66
56
76
44
87
64
53
68
85
49
87
64
66
64
73
21
37
52
18
71
68
50
62
67
68
55
87
63
76
49
74
20
67
86
51
68
75
88
78
79
74
73
62
62
58
81
83
67
62
18
56
69
66
73
77
82
65
32
20
58
63
50
79
62
79
78
46
60
71
36
26
27
25
69
59
86
83
51
76
76
49
65
69
69
69
63
51
33
83
66
72
80
41
80
80
64
76
71
46
53
62
48
48
76
57
85
69
48
46
74
82
64
61
60
54
43
55
62
59
68
90
65
69
64
80
58
92
59
37
21
62
85
43
84
89
73
35
40
50
76
28
51
60
62
59
77
38
83
71
79
61
58
64
76
85
24
73
60
49
59
57
71
17
41
51
67
48
82
44
43
30
40
43
41
52
50
38
23
79
21
57
28
54
85
49
46
53
69
60
48
33
37
39
31
70
74
87
76
83
74
57
70
56
48
79
77
63
64
61
61
90
67
77
90
49
57
74
3
41
72
72
81
61
75
72
76
60
75
83
60
56
49
56
76
73
63
42
47
65
82
52
68
86
57
55
67
72
53
72
93
86
24
20
20
19
16
17
47
76
84
73
40
47
77
64
70
64
40
71
58
58
29
34
18
58
54
52
45
46
46
62
84
62
83
78
44
54
58
66
53
46
57
20
80
68
34
61
26
45
51
65
18
60
92
33
77
71
28
43
69
76
64
10
14
11
14
